,sentence,sentiment,1,2,3,4,5,6,7,8,9,10
0,"What has helped me for more than two years with almost daily attacks of diarrhea is calcium in the form of Caltrate Plus. Calcium is known to be constipating so if you suffer from constipation-type IBS do not take it. Here is the what and how to take the calcium information if you suffer from diarrhea.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));Calcium is an over the counter supplement we all do not usually get enough of. No prescription needed to purchase this. When you take calcium about 40 per cent of the dose gets to the bones, the rest is eliminated in our waste. The calcium goes to the intestines and soaks up excess fluids and binds them together and they are gotten rid of in our waste.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));This is a process that can be continued by taking the calcium carbonate on a regular basis thus giving a more formed bowel movement. There is calcium carbonate which helps us with diarrhea and there is calcium citrate which is more easily absorbed by the body and gets to the bones.A lot of the calcium supplements contain a 2 to 1 ratio of calcium to magnesium. Magnesium is not helpful for us with diarrhea only causing more in most cases. So do not purchase this combination. It will only make things worse. The dose to take is different for everyone. I must take three a day one at each meal and it does not make a difference if I take it before, during or after: just take it regularly.The most success has come from using any formula of calcium supplement that is like Caltrate 600 Plus with Vitamin D and Minerals, in the purple and white box. I hope this will help anyone wishing to try it. There are other things to consider. If you take any other meds check the side effects and also check with the pharmacist to see if taking calcium will interfere with your other medications and how you might take them. The only side effect is at the beginning of taking the calcium you may have some gas or indigestion but this usually goes away soon after taking a regular dose for a few days, as your body adjusts to the added calcium.eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));Starting with 1/2 tablet doses with each meal will lessen this problem and it may be enough to control the diarrhea attacks without making you constipated. Constipation can be a problem so be careful not to take too much.I had my gallbladder removed in 1976 and from that time on I had suffered urgent attacks of diarrhea. Went through a lot of test but nothing else could be found. I took many of the meds for bowel spasms and cramps over the years but nothing ever seemed to help. I started to take a calcium supplement to help  prevent bone loss in later years and from the first day I felt relief. I was pretty much a prisoner to the bathroom or had to go without eating to be able to leave the house. I must take one tablet with each meal and the diarrhea does not come back. If I miss taking it I get diarrhea.The way it works is the calcium carbonate it a binder and when you take it only about 40 per cent of the calcium gets to the bones and the rest is gotten rid of in our waste. During the process it gets to the intestines and soaks up excess bile and water and helps give a more solid BM. Now that you have no gallbladder the bile fluid goes directly into the intestines and causes irritation and diarrhea. The calcium carbonate soaks this up and no more diarrhea. It works great for a lot of us and you just have to take the calcium regularly and do not miss.I started with Caltrate 600 and it does seem to make a difference in the ingredients of calcium...This one seems to do the best job for most. You can buy other store brands of calcium with the same ingredients that work just as well but they need to have the same ingredients. I get Member's Mark Brand from Sam's Club you get 300 tablets for 8.99.You won't be sorry if you try it. I suggest starting with half a tablet with each meal at first this may be enough to control the diarrhea if not in a 
few days up the dose to 1 tablet with each meal. The side effect is constipation so if you feel it coming on just cut the dose. It is important to use a calcium that is as much alike as the Caltrate brand. Let me list the ingredients:vitamin D 200iucalcium 500 or 600mg (this should be calcium carbonate form)magnesium 40mg (no more than this amount because magnesium will cause you to have diarrhea but because calcium is constipating the magnesium helps to counteract that effect)zinc 7.5mgcopper 1mgmanganese 1.8mgboron 250 mcgThere are other brands with the same ingredients so get something as close as you can. Then start with half a tablet with each meal and in a few days if this is not enough to control your diarrhea then up the dose to one tablet with each meal. If you feel you are becoming constipated then cut back on the dose.It has been working since the first day I started taking it July 1998 and as long as I take three a day (this is the amount I must take it may be 
different for you) I remain diarrhea-free. No cramps, bloating or diarrhea. The dose you take with each meal is not the dose that is helping you at that meal, it is the prior ones that have time to work their way through your system to soak up excess bile and water in the intestines. It also works for those of you who still have the gallbladder. It is worth a try and some Lotronex users are getting some help with the calcium.",P,calcium,meal,side effect,pill,tablet,tablet,carbonate,magnesium,bone,attack
1,"eval(ez_write_tag([[580,400],'ibstales_com-banner-1','ezslot_5']));I'm Jenny and I'm 36. I've suffered with IBS for about seven years. I first became ill when I was going out with my previous boyfriend (still haven't worked out if he was the cause!). We eventually split up after six years.I had various test done through the hospital, but nothing was found, the consultant eventually told me that I had IBS, it was basically all in my 
mind and I should go away and have a baby as this would take my mind off myself and therefore, my IBS would heal! I didn't take him up on his 
advice!I was at the end of my tether and was seriously considering the best way to commit suicide. Then, a woman I vaguely knew in work cornered me one day and asked me why I had so much time off work. I tried to avoid answering, as I had lost so many friends by this time, I didn't really trust anyone, but she persisted and I eventually told her everything.She gave me a card with the name and address of a nutritional therapist. I decided to try her and put my suicide plans on the back burner. The woman who gave me the card is now one of my best friends. I went to the nutritional therapist and she basically 'saved' my life. She  understood completely and after various tests and chats, I found out that I suffer from severe food allergies and intolerances. She put me on a very strict diet with supplements (this was five years ago).I have to say that this has not cured me as I still get attacks (my symptoms are the severe runs, extreme bloating, severe wind, overwhelming tiredness and occasional nausea), but my attacks now are mostly stress-related and I try to keep calm as much as I can. This can prove to be difficult as I work for social security and I find that my employers are not the most sympathetic to work for...they don't understand! Plus I'm threatened with the sack on regular occasions.As my IBS improved, so did my life, I found that I was able to go out again, without worrying too much of having an attack. I met new friends, some of which suffer with varying degrees of IBS, this helps as we compare symptoms and sometimes even laugh about them.The best of all, three years ago I met Nigel, he knew nothing of my condition and on our first date didn't comment that I only drank mineral 
water. During our second date we ended up at his house at a meal time, I couldn't not eat! He made no comment when I asked him for boiled rice, broccoli and a glass of mineral water, he even had some boiled rice in his soup!I eventually had to tell him of my illness and he rushed off to get pen and paper, he wrote down everything I could eat. When I next visited him he showed me a cupboard in the kitchen, he'd filled it with all the food that I could eat...I was totally overwhelmed, no-one had ever understood before, especially a man!Needless to say, we now live together with my IBS and we're getting married in June. None of this has made my IBS improve, I seem to have hit a level and don't feel that it will improve much more, but most of the time it's bearable and I'm very happy with my life.E-mail Jenny:[email protected]",N,attack,attack,attack,friend,attack,mineral water,exam,email,rice,rice
2,"I have suffered for a number of years from what the doctors have diagnosed as irritable bowel syndrome. My IBS came on very suddenly, one evening, with severe abdominal pain. The pain was so intense that I began to hyperventilate. My husband rushed me to the hospital where the doctors could find nothing wrong with me. They gave me morphine for the pain and sent me home.The next day I felt fine and so dismissed this as a one-time incident. Within a month I experienced the pain again, although not as severe, but it stayed with me for about four days. For the next several months I went through this suffering for four days to a week and then feeling good for two to three weeks, and then again four days to a week of pain.I made several visits to different doctors, each one diagnosing IBS and suggesting eliminating the foods that cause pain, getting more exercise, and eliminating stress. They prescribed painkillers and muscle relaxants and sent me home feeling hopeless. The painkillers caused drowsiness and constipation, and the muscle relaxants caused my heart to race. I knew that I couldn't continue to use them, but really didn't want to anyway.I wanted to find a natural way to combat this affliction. I took the doctors' advice and began walking to get my exercise. This seemed to help 
considerably but I was unable to do it when in pain, as it made the pain much worse. I also eliminated the foods that seemed to bother me. Foods such as cabbage, broccoli, corn, soda pop, and ice cream.I began taking acidophilus, a glass of prune juice every morning, and a calcium supplement, these all seemed to help relieve the pain to some degree but not enough.The stress elimination was not as easy and I am still working on that. I also tried many fiber supplements which hurt more than helped and I had to quit trying them. In the meantime the episodes were happening more often and lasting longer, although the pain was not as severe as it had been.It soon became a mental problem of being afraid to eat because almost everything that I consumed would cause pain and bloating. I began to feel nauseated almost every time that I ate and I quickly lost 25 pounds. By this time my episodes were so frequent that once I had recovered from one, because they left me so drained and tired, it took several days to a week to recover after the pain, then I would have another. I was getting scared, extremely tired, and desperate to find relief.In my search I happened upon a story of a man that was to the point of vomiting nearly everything that he ate and had lost 45 pounds. He had discovered a digestive enzyme with acidophilus and within three days of taking it with every meal he had improved to the point of being able to eat almost anything he wanted without a problem. I tried it and also found significant relief within three days.I have since gained back the 25 pounds and do not feel nauseated at all. I am not afraid to eat now but find that I still cannot eat very much of either the refined sugar products nor the high fiber vegetables. I have continued the digestive enzyme, acidophilus, the prune juice and the 
exercising, and I have also added a cup or two per day of peppermint and chamomile tea.When I do have an episode it occurs late in the day and by the next morning I am feeling back to normal. I can now concentrate more on exercising, eating well and relieving stress.Unfortunately I cannot tell you that if you have IBS and you do all of the things that I have done that it will relieve your symptoms. I can tell you that when your life is enveloped by this horrible thing called IBS it is definitely worth trying anything that is suggested to you. Finding what will 
relieve your symptoms is a trial an error process, as one thing can help some people and will hurt others. The secret is to not give up hope and to 
keep trying.",NEU,pain,doctor,doctor,sugar product,ice cream,pound,food,stress,pound sterling,home
3,"I was first diagnosed with IBS after drinking coke down the pub. I had been having really bad stomach pains and all the other symptoms of IBS so I decided to stop drinking alcohol as I thought it would be bad for me. So I had a pint of coke and it must have been the worst pain I have ever experienced.I collapsed on the floor in agony and I was rushed to hospital. It took them a while and then they finally told me it was IBS. I knew what this was as one of my friends was a bad sufferer but I couldn't believe I had it! I blamed it on stress and food intolerances.After a trial and error period I worked out what affected me and what didn't so I now can't eat normal bread, chocolate and pasta. But I was still getting pains when I worked out it was college - it was so stressful.I was getting up at 6am to get the bus to get into college for 9am and then having about eight lessons a day with no breaks, and not getting home until 8.00 some evenings! It was a nightmare and I completely failed the first year so I moved to a nearer college and am now very happy! I still suffer from it but it is no way as bad as it used to be.",N,pain,coke,Coca-Cola,stomach,alcohol,pint,floor,friend,stress,food
4,"Firstly I must say, what a relief to find this website. I was diagnosed with having IBS four years ago and I thought I was becoming a food freak! The doctors told me about the physical aspects of having IBS, but not once do I remember them saying 'You'll go partially insane through constantly thinking about going to the loo!' And believe me at the age of 22, trying to complete a degree in teaching, you have enough to worry about.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));Like most IBS sufferers I have cut out food such as bread, pasta and chocolate (hard when your parents own a sweet shop) but for me personally I find the strain it has on your social and working life more of a challenge than the physical aspect.At university I would not be concentrating on the lectures but trying to plan how I could leave the lecture hall if I suddenly needed the toilet. Whilst on teaching practice I would be counting the minutes to when I could next visit the ladies room. Believe me the mental strain to keep going was unbelievable. There is a happy ending (well sort of - there are no miracle cures). I finished my degree and am planning to start teaching soon.",P,food,conference,happy end,kind,website,kind,lady,toilet,room,hall
5,"eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));My IBS started when I changed jobs. I am in my mid-20s, and when I say I changed jobs, I actually mean I changed jobs and moved 200 
miles north at the same time. I didn't have any time off for the move and my first week of work was awful, every time I went into a meeting room with someone for an introductory chat, my stomach would make growling noises and I was in so much pain.eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));My stomach kept swelling up like a football. Immediately after eating I would feel like I was going to have diarrhea and when I got to the toilet I would be constipated. Often I had to run trying not to break wind. It was awful. Every time I got up to collect something from the printer or do photocopying I had to pretend to look at my watch while the sensation passed before I could carry on walking.This carried on for months, so eventually I went to my doctor. I was so embarrassed to tell him I was flatulent all the time, and I couldn't think of an appropriate word for it at the time either! He said it was IBS and it was often stress-related, and suggested my change of job was to blame.Since then I have found this website  really helpful, and I realize that my constant toilet trips (at work I am known for going every hour on the hour) and pain is nothing compared to some of the stories I have read. I have found the oddest things set me off, namely pineapple juice, yogurt, alcohol,  bananas and biscuits to name a few...I know this sounds really obvious, but near to my period it gets really bad, so I never do the top button of my trousers up and try to wear as 
loose-fitting trousers as possible, that really seems to help the pain and swelling. And I try to eat well, but sometimes when the IBS gets me down, all I want to do is eat cake and chocolate.Work is definitely the hardest thing for me. My team mates joke about the fact I always seem to know where free toilets are in all major cities in Britain - but for me this essential when going out (finding money wastes valuable time). My doctor put me on tablets to aid my weight loss and the side effects were oily stools and the need to got to the toilet urgently - great.Going to the toilets at work has become a bit of a trauma, I am obsessed about the cubicles being empty in case I have some sort of explosion (I'm not kidding!). I hope that nevertheless this is a happy story because knowing what my problem is and learning to cope is positive for me. I also appreciate that my symptoms are not as bad as they could be. I hope that those still suffering find things to help them soon.Worst moment: Breaking wind in a restaurant when a child decided to tickle me. Either that or breaking wind in front of my manager. I'm still not sure whether I got away with it...",NEU,job,toilet,pain,side effect,tale,doctor,doctor,stomach,wind,weight
6,"I fortunately have a success story. It is so wonderful to be free of all that pain and bloating. I, like others on this site, suffered constantly 
from age 17 to 27. Sometimes day in and day out for weeks straight, sometimes it would come for a day and then not be back for a month. I know too well how it feels to have to get to the bathroom and go through those cold sweats. Pepto-Bismol and Rolaids were my best friends.I nearly had surgery on my appendix because the doctors thought it was about to burst, the doctors even had me call my mom. Luckily the pain subsided a few hours later and I was sent home. I hadn't been diagnosed with IBS yet, so started worrying about my appendix. The stress! That made it worse and brought on my worst bout of IBS.I coached gymnastics at the time, and at work I would often have to lay on the mat with my legs up, and coach from that position through clenched teeth. Such a nightmare. That's when a doctor diagnosed me with IBS and recommended Metamucil, fruits and vegetables and plenty of water.I couldn't stomach the Metamucil drink so tried the wafers which I thought tasted pretty good, like graham crackers, but they didn't get rid of my stomach problems. The water and fruits had been in my diet, so there went that. I began a diet similar to slim fast, I won't name it, but it consisted of a soy drink high in protein and vitamins.I would eat a protein bar, fruit or vegetable for snacks between meals, and one full meal, usually; chicken, baked potato, vegetables and dessert (most of the time it was vanilla ice cream). I also upped my water to 10 to 12 glasses a day (since it flushes out fat, and the goal was to lose weight).In less than a month, all of my symptoms were gone! I continued this diet for a little over two years. I lost a ton of weight, which I've gained back, but I'm now 32 and haven't suffered from IBS for five years! I know what you're going through. I don't know if this will help anyone else, but I hope you do find relief from your suffering.",NEU,diet,fruit,vegetable,plant,doctor,doctor,beverage,addition,appendix,weight
7,"Hi there. I was diagnosed with IBS about two years ago when I was about 20. But the truth is I've had symptoms of IBS for years before that. My worst symptom is diarrhea. I'm lucky that I haven't really had any awfully embarrassing incidents.I'm usually very lucky and manage to find a bathroom fast enough. But that's usually less luck and more planning on my part. I've managed to learn the art of scoping out all the bathrooms within a few minutes of stepping in to any situation.Aisle seats, sit close to bathrooms at restaurants, and never get trapped in a booth. It gets pretty stressful at times trying to always find 
an escape route. But I've gotten used to it. As far as getting better, I've made a number of changes to my diet. I've eliminated milk and mostly any dairy, fried foods, sugar for the most part, pop, alcohol, potato chips, spicy food, rice, pasta and bread. Most recently I'm eliminating flour. And I've actually just added soy milk and bran to my morning routine. I thought I'd give it a try.But my best friend for the last couple of years has been Imodium  tablets! I don't ever leave home without them. I've got packs in my car, my purse, my jacket. I just have to make sure I don't overdo it. If I ever become immune to the wonder drug I am going to be a real mess!I guess the hardest thing about IBS for me is being afraid to go out, all the planning that goes into everything I do. Leaving the house is always really scary. Not knowing when I might suddenly need a bathroom. I think part of the problem is as soon as I am on my way out I start second-guessing myself and get all tense. That in turn brings on the diarrhea. I just know that I don't want to spend the rest of my life like this. I'm 22, I want to get married, have kids!Anyways good luck to all the sufferers out there. There is hope, we all just have to keep giving our feedback and sharing what is working for us. And I am so glad to see so many great boards and IBS help sites online. I'm not the only sufferer!E-mail Mina:[email protected]",NEU,toilet,email,home,food,tablet,incident,online,board,feedback,kid
8,"I was recently diagnosed with IBS. I'm 20 years old and throughout high school never had a single problem with my digestive system. Then about two years ago I began experiencing some very strange symptoms. Firstly my heart would start to beat faster, then I'd begin sweating and have these awful cramps in my stomach and my legs would begin tingling, and I would need to use the bathroom right then and there with no warning at all.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_8']));I went to the doctors almost every month for a year - at one point all I could eat without throwing up was oven chips, which I had to live on for about eight weeks and they soon lost their appeal! It finally came to a head about six months ago when I was asleep one night and I woke up with the most excruciating pain in my stomach that I have ever experienced - I couldn't even move and felt like I was dying.I spent about 45 minutes on the toilet sobbing, just wishing someone would tell me what was wrong with me. I went to the doctor the next day and after some tests he confirmed that I had IBS - I felt so relieved and now that I knew what was wrong I could do something about it.eval(ez_write_tag([[300,250],'ibstales_com-medrectangle-4','ezslot_0']));It's still hard living with it now but it's a lot better than it used to be. Learning what my triggers are was a big help - I can't eat cheese, yogurt, white bread or pasta, and definitely no spicy foods whatsoever! I also found that lack of sleep was a big contributing factor, so I make sure I get at least nine hours sleep a night.My savior had been Kaolin and Morphine - as soon as I take it the pain just disappears and I can get on with whatever I'm doing! The doctor prescribed me some tablets and they're like a stronger version of Imodium and they have been very helpful too.I still get sad now and again that I can't do the things other 20 year-olds do like traveling or clubbing but I'm blessed with a wonderful and 
understanding fiance and family and I realize that my IBS is nowhere near as bad as some people get it. I hope that one day I'll be completely cured and it won't be something that I have to think about.",NEU,doctor,doctor,stomach,toilet,pain,pill,bread,pasta,food,saviour
9,"eval(ez_write_tag([[336,280],'ibstales_com-box-4','ezslot_5']));IBS really ruined my whole life, and just like everyone here, I felt torn between being grateful I didn't have something 'serious' and guilty for 
feeling like I was dying anyway. People treat you differently when they know that IBS is something that isn't 'serious' as in life-threatening, but as my gastroenterologist told me that he could treat the pain of his colon cancer patients better than the IBS patients.So we have to endure serious and life-altering pain, without the empathy we would have if what we have was terminal. Sort of ironic in a way...how many times have we all heard 'Well, at least it's not serious and you don't die from it!' You feel badly for those who do die from diseases, but yet from all the pain and embarrassment you wish you could die...such a dichotomy. That's how I felt anyway...Well, I was officially diagnosed in 1988, after about five years of not knowing why I was having increasing severe diarrhea and abdominal pain. With the birth of my daughter that same year, I thought I better get tested, that maybe I did have some digestive disease, but several colonoscopies later, it was confirmed as IBS. Trips to the Mayo Clinic and two other gastros further confirmed that every single prescription and OTC medication had little or no effect, and only short-term, if any.My gastro finally told me that he had exhausted his treatment options, and to go look up other treatments on the internet. In my search, through the IBS Group Bulletin Board, and my friend there, I found out about the use of clinical hypnotherapy for IBS, which worked for him, but in my opinion, I thought was pretty far-fetched and seemed to be absurd to me.But I was desperate and he told me to try it, so I did as a last resort in the summer of 2000. This was the IBS Audio Program, which is a set of CDs with a specific schedule of several sessions that you listen to. That was over three years ago, and now I can actually leave the house, whereas before, I raised my children 'through the bathroom door!' I had attacks of diarrhea and pain lasting for hours on end, sometimes six hours a day, almost every day, never knowing when...even if I ate small amounts, the attacks would come out of the blue.My IBS cost me a whole lost life...events and special celebrations for my kids, just taking them to routine doctor and dentist appointments was an ordeal, and my marriage suffered and collapsed in part because of it. I went from being able to travel and talk professionally in front of large groups of people, to being just about housebound.This program saved my life. I now have a life! And I now help the author of the program, clinical hypnotherapist Michael Mahoney, as a result of my gratitude for getting my life back. That's what worked for me and I hope this helps someone too. Thanks for letting me share!",NEU,pain,people,attack,attack,attack,attack,treatment,program,disease,colon cancer
